event-id,visible,timestamp,location-long,location-lat,locality,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
36178092883,TRUE,00:01.0,130.1227,-0.1393,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092884,TRUE,02:05.0,130.1217,-0.1393,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092885,TRUE,57:06.0,130.6724,-0.0439,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092886,TRUE,02:17.0,130.6617,-0.0582,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092887,TRUE,49:48.0,130.6436,0.0725,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092888,TRUE,31:44.0,130.7559,0.0762,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092889,TRUE,28:19.0,130.5805,0.0042,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092890,TRUE,18:41.0,130.3362,-0.0529,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092891,TRUE,50:57.0,130.2401,-0.0628,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092892,TRUE,29:51.0,130.1045,-0.1625,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092893,TRUE,57:05.0,130.4506,0.0212,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092894,TRUE,53:00.0,130.4286,0.0293,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092895,TRUE,24:08.0,130.3634,0.1032,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
